%Miasto, Rozrywka, Zabytki, Przyroda, Architektura, Ceny, Gastronomia, Kultura, Opinie
Białystok 1 1 1 1 1 1 1 1
Wrocław 0 1 1 0 1 0 1 0
Warszawa 1 0 0 1 1 1 0 1
Kraków 1 1 0 0 0 1 1 1
Gdańsk 1 1 1 1 1 1 1 0
Radom 0 0 0 0 0 1 1 1
Gliwice 1 0 0 1 1 0 0 0
Giżycko 1 0 1 0 1 1 0 1
Augustów 1 0 1 0 1 0 0 0
Włodawa 0 0 0 0 0 1 0 1
Puławy 0 0 1 0 0 1 0 0
Rajgród 1 0 1 0 1 0 1 0
Łeba 1 0 1 1 1 1 1 0
Sandomierz 0 1 1 1 0 0 0 0
Kazimierz_Dolny 1 1 1 1 1 0 0 1
Bytom 0 0 0 1 0 1 1 0
Hel 0 0 1 0 0 0 1 0
